slide,section,bullet,kind,claim_id,status,source,citation,characters,delivery,text
1,title,0,plain,,,narration,,89,spoken,"Ankit Ranjan — specialist for Google, one of four company seats feeding one shared model."
1,title,1,fact,,,task-06-tables/company-comparability.csv#postings; task-06-tables/company-comparability.csv#publishers; task-06-tables/company-comparability.csv#months_observed,"postings_focus, publishers_focus, months_observed",55,spoken,"Google: 846 postings, 95 publishers, 12 months of 2023."
1,title,2,fact,,,README.md task table; members/*/task-*-tables/*.csv; members/*/task-*-figures/*.png; pytest --collect-only over tests/,"tasks_total, tables_committed, figures_committed, tests_total",54,spoken,"10 tasks, 138 committed tables, 54 figures, 737 tests."
2,problem,0,plain,,,narration,,98,spoken,"The brief: forecast competitor demand, skill trends and market direction from public job postings."
2,problem,1,plain,,,narration,,94,spoken,A posting states intent before a hire reaches any financial report — that is the whole appeal.
2,problem,2,plain,,,narration,,115,spoken,A posting is also a document a job board chose to syndicate. Everything in this deck turns on that second sentence.
3,legal,0,plain,,,narration,task_number,147,spoken,"Task 01 set an API-first source list and a four-pillar checklist: terms of service, robots.txt, public versus copyrighted, and never personal data."
3,legal,1,plain,,,narration,,131,spoken,"Google Careers scraping was rejected on robots.txt. It was never collected, and the rejection is committed alongside the approvals."
3,legal,2,plain,,,narration,,96,spoken,"Reed was never approved, so it was never called, even though a key sits in the environment file."
3,legal,3,plain,,,narration,,100,spoken,A standing privacy check runs every task: no committed table may carry a column that names a person.
4,data,0,fact,,,task-06-tables/company-comparability.csv#postings; task-06-tables/company-comparability.csv#publishers; task-06-tables/company-comparability.csv#months_observed,"postings_focus, publishers_focus, months_observed",77,spoken,"Google: 846 postings across 95 publishers, present in every one of 12 months."
4,data,1,fact,,,task-06-tables/company-feasibility-screen.csv#verdict; task-06-tables/company-feasibility-screen.csv#postings; task-06-tables/company-feasibility-screen.csv#verdict,"companies_compared, postings_pool, companies_screened_out",87,spoken,"Comparison set: 6 companies and 3,605 postings; 2 candidates failed the support screen."
4,data,2,plain,,,narration,collection_year,119,spoken,"One source, one year. Every trend sentence here is labelled within-2023, and none of them is a year-on-year comparison."
5,pipeline,0,plain,,,narration,task_number,198,spoken,"Task 03 split preprocessing into a structured layer and a free-text layer. The free-text layer is validated and idle: the API truncates description text, so full-text extraction was never available."
5,pipeline,1,fact,,,task-04-tables/skill-frequency.csv (rows),skills_observed,139,spoken,"Task 04 matched 91 distinct skills with rules and aliases rather than a model, so a reviewer can check any single extraction by reading it."
5,pipeline,2,plain,,,narration,,130,spoken,"Skill shares use the skilled-posting denominator, never all postings — the alternative confounds demand with description coverage."
6,identification,0,claim,panel-google,published,6,task-06-tables/company-comparability.csv#common_panel_share@company=google,151,spoken,"Google's postings arrive through 95 publishers, of which the common panel carries 54.1% — a property of the aggregator, not of the company's recruiting"
6,identification,1,plain,,,narration,,110,spoken,"So levels do not compare across companies, and the project compares shares of a fixed publisher panel instead."
6,identification,2,plain,,,narration,,109,spoken,"February is a collection gap, not a hiring freeze: the publishers that vanish in February come back in March."
6,identification,3,plain,,,narration,,102,spoken,"The date field is an aggregator first-seen date, so the weekly series describes discovery, not hiring."
