claim_id,question,status,sentence,action,falsifier,citation
vol-meta,hiring_patterns,published_qualified,"Meta's 2023 posting volume reads as growth, and the four panel treatments spread 135.59 index points around it — measured on the shared publisher panel only",none until the panel is balanced,a twelve-month panel in which all four treatments agree on the sign,task-06-tables/volume-verdict.csv#spread@company=meta
vol-snowflake,hiring_patterns,published_qualified,"Snowflake's 2023 posting volume reads as decline, and the four panel treatments spread 17.24 index points around it — measured on the shared publisher panel only",none until the panel is balanced,a twelve-month panel in which all four treatments agree on the sign,task-06-tables/volume-verdict.csv#spread@company=snowflake
share-databricks,hiring_patterns,published_qualified,"Databricks was gaining share of the shared publisher pool between H1 and H2 2023 (log share change 0.293), agreeing in 4 of 6 publishers — share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",watch which competitor is displacing whom on shared boards,the same sign count under a per-company cell floor of 5 postings a half,task-06-tables/relative-share-verdict.csv#pooled_log_share_change@company=databricks
share-google,hiring_patterns,published_qualified,"Google was losing share of the shared publisher pool between H1 and H2 2023 (log share change -0.182), agreeing in 4 of 6 publishers — share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",watch which competitor is displacing whom on shared boards,the same sign count under a per-company cell floor of 5 postings a half,task-06-tables/relative-share-verdict.csv#pooled_log_share_change@company=google
share-meta,hiring_patterns,published_qualified,"Meta was gaining share of the shared publisher pool between H1 and H2 2023 (log share change 0.050), agreeing in 5 of 6 publishers — share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",watch which competitor is displacing whom on shared boards,the same sign count under a per-company cell floor of 5 postings a half,task-06-tables/relative-share-verdict.csv#pooled_log_share_change@company=meta
share-microsoft,hiring_patterns,published_qualified,"Microsoft was gaining share of the shared publisher pool between H1 and H2 2023 (log share change 0.237), agreeing in 4 of 6 publishers — share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",watch which competitor is displacing whom on shared boards,the same sign count under a per-company cell floor of 5 postings a half,task-06-tables/relative-share-verdict.csv#pooled_log_share_change@company=microsoft
share-nvidia,hiring_patterns,published_qualified,"Nvidia was gaining share of the shared publisher pool between H1 and H2 2023 (log share change 0.347), agreeing in 6 of 6 publishers — share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",watch which competitor is displacing whom on shared boards,the same sign count under a per-company cell floor of 5 postings a half,task-06-tables/relative-share-verdict.csv#pooled_log_share_change@company=nvidia
share-snowflake,hiring_patterns,published_qualified,"Snowflake was losing share of the shared publisher pool between H1 and H2 2023 (log share change -1.190), agreeing in 5 of 6 publishers — share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",watch which competitor is displacing whom on shared boards,the same sign count under a per-company cell floor of 5 postings a half,task-06-tables/relative-share-verdict.csv#pooled_log_share_change@company=snowflake
panel-databricks,hiring_patterns,published,"Databricks's postings arrive through 39 publishers, of which the common panel carries 53.8% — a property of the aggregator, not of the company's recruiting",scope every cross-company read to the common panel,a direct-API panel showing a different publisher spread,task-06-tables/company-comparability.csv#common_panel_share@company=databricks
panel-google,hiring_patterns,published,"Google's postings arrive through 95 publishers, of which the common panel carries 54.1% — a property of the aggregator, not of the company's recruiting",scope every cross-company read to the common panel,a direct-API panel showing a different publisher spread,task-06-tables/company-comparability.csv#common_panel_share@company=google
panel-meta,hiring_patterns,published,"Meta's postings arrive through 102 publishers, of which the common panel carries 44.0% — a property of the aggregator, not of the company's recruiting",scope every cross-company read to the common panel,a direct-API panel showing a different publisher spread,task-06-tables/company-comparability.csv#common_panel_share@company=meta
panel-microsoft,hiring_patterns,published,"Microsoft's postings arrive through 88 publishers, of which the common panel carries 60.9% — a property of the aggregator, not of the company's recruiting",scope every cross-company read to the common panel,a direct-API panel showing a different publisher spread,task-06-tables/company-comparability.csv#common_panel_share@company=microsoft
panel-nvidia,hiring_patterns,published,"Nvidia's postings arrive through 43 publishers, of which the common panel carries 67.5% — a property of the aggregator, not of the company's recruiting",scope every cross-company read to the common panel,a direct-API panel showing a different publisher spread,task-06-tables/company-comparability.csv#common_panel_share@company=nvidia
panel-snowflake,hiring_patterns,published,"Snowflake's postings arrive through 37 publishers, of which the common panel carries 23.5% — a property of the aggregator, not of the company's recruiting",scope every cross-company read to the common panel,a direct-API panel showing a different publisher spread,task-06-tables/company-comparability.csv#common_panel_share@company=snowflake
