claim_id,question,family,subject,measures,text,clause,citation,quoted_value,source_task,verdict_source,inherited_verdict,gate_evidence,gate_lint,gate_identification,gate_consistency,status,blocked_by,reason,audience,action,falsifier,depends_on,notes
vol-databricks,hiring_patterns,volume,databricks,"posting volume, 2023, four panel treatments","Databricks's 2023 posting volume reads as unresolved, and the four panel treatments spread 128.10 index points around it","treatments disagree, so the direction is a property of the panel treatment, not of the company",task-06-tables/volume-verdict.csv#spread@company=databricks,128.1,06,volume_treatments:task-06-tables/volume-verdict.csv#treatments_agree@company=databricks,False,True,True,False,True,refused,identification,False -> refused,strategy,none until the panel is balanced,a twelve-month panel in which all four treatments agree on the sign,,direction is inherited from Task 05's panel treatments
vol-google,hiring_patterns,volume,google,"posting volume, 2023, four panel treatments","Google's 2023 posting volume reads as growth, and the four panel treatments spread 99.05 index points around it","treatments disagree, so the direction is a property of the panel treatment, not of the company",task-06-tables/volume-verdict.csv#spread@company=google,99.05,06,volume_treatments:task-06-tables/volume-verdict.csv#treatments_agree@company=google,False,True,True,False,True,refused,identification,False -> refused,strategy,none until the panel is balanced,a twelve-month panel in which all four treatments agree on the sign,,direction is inherited from Task 05's panel treatments
vol-meta,hiring_patterns,volume,meta,"posting volume, 2023, four panel treatments","Meta's 2023 posting volume reads as growth, and the four panel treatments spread 135.59 index points around it",measured on the shared publisher panel only,task-06-tables/volume-verdict.csv#spread@company=meta,135.59,06,volume_treatments:task-06-tables/volume-verdict.csv#treatments_agree@company=meta,True,True,True,True,True,published_qualified,,True -> published_qualified,strategy,none until the panel is balanced,a twelve-month panel in which all four treatments agree on the sign,,direction is inherited from Task 05's panel treatments
vol-microsoft,hiring_patterns,volume,microsoft,"posting volume, 2023, four panel treatments","Microsoft's 2023 posting volume reads as growth, and the four panel treatments spread 80.93 index points around it","treatments disagree, so the direction is a property of the panel treatment, not of the company",task-06-tables/volume-verdict.csv#spread@company=microsoft,80.93,06,volume_treatments:task-06-tables/volume-verdict.csv#treatments_agree@company=microsoft,False,True,True,False,True,refused,identification,False -> refused,strategy,none until the panel is balanced,a twelve-month panel in which all four treatments agree on the sign,,direction is inherited from Task 05's panel treatments
vol-nvidia,hiring_patterns,volume,nvidia,"posting volume, 2023, four panel treatments","Nvidia's 2023 posting volume reads as decline, and the four panel treatments spread 27.38 index points around it","treatments disagree, so the direction is a property of the panel treatment, not of the company",task-06-tables/volume-verdict.csv#spread@company=nvidia,27.38,06,volume_treatments:task-06-tables/volume-verdict.csv#treatments_agree@company=nvidia,False,True,True,False,True,refused,identification,False -> refused,strategy,none until the panel is balanced,a twelve-month panel in which all four treatments agree on the sign,,direction is inherited from Task 05's panel treatments
vol-snowflake,hiring_patterns,volume,snowflake,"posting volume, 2023, four panel treatments","Snowflake's 2023 posting volume reads as decline, and the four panel treatments spread 17.24 index points around it",measured on the shared publisher panel only,task-06-tables/volume-verdict.csv#spread@company=snowflake,17.24,06,volume_treatments:task-06-tables/volume-verdict.csv#treatments_agree@company=snowflake,True,True,True,True,True,published_qualified,,True -> published_qualified,strategy,none until the panel is balanced,a twelve-month panel in which all four treatments agree on the sign,,direction is inherited from Task 05's panel treatments
share-databricks,hiring_patterns,relative_share,databricks,"share of the common publisher pool, H1 vs H2 2023","Databricks was gaining share of the shared publisher pool between H1 and H2 2023 (log share change 0.293), agreeing in 4 of 6 publishers","share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",task-06-tables/relative-share-verdict.csv#pooled_log_share_change@company=databricks,0.293,06,relative_share:task-06-tables/relative-share-verdict.csv#verdict@company=databricks,mixed,True,True,True,True,published_qualified,,mixed -> published_qualified,strategy,watch which competitor is displacing whom on shared boards,the same sign count under a per-company cell floor of 5 postings a half,C8,
share-google,hiring_patterns,relative_share,google,"share of the common publisher pool, H1 vs H2 2023","Google was losing share of the shared publisher pool between H1 and H2 2023 (log share change -0.182), agreeing in 4 of 6 publishers","share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",task-06-tables/relative-share-verdict.csv#pooled_log_share_change@company=google,-0.182,06,relative_share:task-06-tables/relative-share-verdict.csv#verdict@company=google,mixed,True,True,True,True,published_qualified,,mixed -> published_qualified,strategy,watch which competitor is displacing whom on shared boards,the same sign count under a per-company cell floor of 5 postings a half,C8,
share-meta,hiring_patterns,relative_share,meta,"share of the common publisher pool, H1 vs H2 2023","Meta was gaining share of the shared publisher pool between H1 and H2 2023 (log share change 0.050), agreeing in 5 of 6 publishers","share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",task-06-tables/relative-share-verdict.csv#pooled_log_share_change@company=meta,0.05,06,relative_share:task-06-tables/relative-share-verdict.csv#verdict@company=meta,mixed,True,True,True,True,published_qualified,,mixed -> published_qualified,strategy,watch which competitor is displacing whom on shared boards,the same sign count under a per-company cell floor of 5 postings a half,C8,
share-microsoft,hiring_patterns,relative_share,microsoft,"share of the common publisher pool, H1 vs H2 2023","Microsoft was gaining share of the shared publisher pool between H1 and H2 2023 (log share change 0.237), agreeing in 4 of 6 publishers","share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",task-06-tables/relative-share-verdict.csv#pooled_log_share_change@company=microsoft,0.237,06,relative_share:task-06-tables/relative-share-verdict.csv#verdict@company=microsoft,mixed,True,True,True,True,published_qualified,,mixed -> published_qualified,strategy,watch which competitor is displacing whom on shared boards,the same sign count under a per-company cell floor of 5 postings a half,C8,
share-nvidia,hiring_patterns,relative_share,nvidia,"share of the common publisher pool, H1 vs H2 2023","Nvidia was gaining share of the shared publisher pool between H1 and H2 2023 (log share change 0.347), agreeing in 6 of 6 publishers","share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",task-06-tables/relative-share-verdict.csv#pooled_log_share_change@company=nvidia,0.347,06,relative_share:task-06-tables/relative-share-verdict.csv#verdict@company=nvidia,confirmed,True,True,True,True,published_qualified,,confirmed -> published_qualified,strategy,watch which competitor is displacing whom on shared boards,the same sign count under a per-company cell floor of 5 postings a half,C8,
share-snowflake,hiring_patterns,relative_share,snowflake,"share of the common publisher pool, H1 vs H2 2023","Snowflake was losing share of the shared publisher pool between H1 and H2 2023 (log share change -1.190), agreeing in 5 of 6 publishers","share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",task-06-tables/relative-share-verdict.csv#pooled_log_share_change@company=snowflake,-1.19,06,relative_share:task-06-tables/relative-share-verdict.csv#verdict@company=snowflake,mixed,True,True,True,True,published_qualified,,mixed -> published_qualified,strategy,watch which competitor is displacing whom on shared boards,the same sign count under a per-company cell floor of 5 postings a half,C8,
mix-analytics,hiring_patterns,segment_mix,google:Analytics,"share of postings by job function, H1 vs H2 2023","Analytics moved from 16.2% to 20.0% of Google's postings between H1 and H2 2023, a change of 0.0378 in share",share of postings within the balanced publisher panel; a share can move because a different function moved,task-05-tables/panel-check-job-function.csv#share_delta@segment=Analytics,0.0378,05,segment_panel:task-05-tables/panel-check-job-function.csv#directions_agree@segment=Analytics,False,True,True,False,True,refused,identification,False -> refused,hr_talent,"size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,,
mix-sales,hiring_patterns,segment_mix,google:Sales,"share of postings by job function, H1 vs H2 2023","Sales moved from 2.6% to 5.3% of Google's postings between H1 and H2 2023, a change of 0.0266 in share",share of postings within the balanced publisher panel; a share can move because a different function moved,task-05-tables/panel-check-job-function.csv#share_delta@segment=Sales,0.0266,05,segment_panel:task-05-tables/panel-check-job-function.csv#directions_agree@segment=Sales,True,True,True,True,True,published_qualified,,True -> published_qualified,hr_talent,"size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,,
mix-technical-sales,hiring_patterns,segment_mix,google:Technical Sales,"share of postings by job function, H1 vs H2 2023","Technical Sales moved from 15.1% to 17.2% of Google's postings between H1 and H2 2023, a change of 0.0208 in share",share of postings within the balanced publisher panel; a share can move because a different function moved,task-05-tables/panel-check-job-function.csv#share_delta@segment=Technical Sales,0.0208,05,segment_panel:task-05-tables/panel-check-job-function.csv#directions_agree@segment=Technical Sales,True,True,True,True,True,published_qualified,,True -> published_qualified,hr_talent,"size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,,
mix-product-program,hiring_patterns,segment_mix,google:Product / Program,"share of postings by job function, H1 vs H2 2023","Product / Program moved from 0.3% to 0.4% of Google's postings between H1 and H2 2023, a change of 0.0015 in share",share of postings within the balanced publisher panel; a share can move because a different function moved,task-05-tables/panel-check-job-function.csv#share_delta@segment=Product / Program,0.0015,05,segment_panel:task-05-tables/panel-check-job-function.csv#directions_agree@segment=Product / Program,True,True,True,True,True,published_qualified,,True -> published_qualified,hr_talent,"size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,,
mix-support-admin,hiring_patterns,segment_mix,google:Support / Admin,"share of postings by job function, H1 vs H2 2023","Support / Admin moved from 0.3% to 0.4% of Google's postings between H1 and H2 2023, a change of 0.0015 in share",share of postings within the balanced publisher panel; a share can move because a different function moved,task-05-tables/panel-check-job-function.csv#share_delta@segment=Support / Admin,0.0015,05,segment_panel:task-05-tables/panel-check-job-function.csv#directions_agree@segment=Support / Admin,True,True,True,True,True,published_qualified,,True -> published_qualified,hr_talent,"size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,,
mix-facilities-operations,hiring_patterns,segment_mix,google:Facilities / Operations,"share of postings by job function, H1 vs H2 2023","Facilities / Operations moved from 11.1% to 11.2% of Google's postings between H1 and H2 2023, a change of 0.0011 in share",share of postings within the balanced publisher panel; a share can move because a different function moved,task-05-tables/panel-check-job-function.csv#share_delta@segment=Facilities / Operations,0.0011,05,segment_panel:task-05-tables/panel-check-job-function.csv#directions_agree@segment=Facilities / Operations,True,True,True,True,True,published_qualified,,True -> published_qualified,hr_talent,"size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,,
mix-marketing-communications,hiring_patterns,segment_mix,google:Marketing / Communications,"share of postings by job function, H1 vs H2 2023","Marketing / Communications moved from 0.3% to 0.2% of Google's postings between H1 and H2 2023, a change of -0.0006 in share",share of postings within the balanced publisher panel; a share can move because a different function moved,task-05-tables/panel-check-job-function.csv#share_delta@segment=Marketing / Communications,-0.0006,05,segment_panel:task-05-tables/panel-check-job-function.csv#directions_agree@segment=Marketing / Communications,True,True,True,True,True,published_qualified,,True -> published_qualified,hr_talent,"size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,,
mix-other,hiring_patterns,segment_mix,google:Other,"share of postings by job function, H1 vs H2 2023","Other moved from 2.9% to 1.9% of Google's postings between H1 and H2 2023, a change of -0.0101 in share",share of postings within the balanced publisher panel; a share can move because a different function moved,task-05-tables/panel-check-job-function.csv#share_delta@segment=Other,-0.0101,05,segment_panel:task-05-tables/panel-check-job-function.csv#directions_agree@segment=Other,False,True,True,False,True,refused,identification,False -> refused,hr_talent,"size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,,
mix-engineering,hiring_patterns,segment_mix,google:Engineering,"share of postings by job function, H1 vs H2 2023","Engineering moved from 28.6% to 26.1% of Google's postings between H1 and H2 2023, a change of -0.0254 in share",share of postings within the balanced publisher panel; a share can move because a different function moved,task-05-tables/panel-check-job-function.csv#share_delta@segment=Engineering,-0.0254,05,segment_panel:task-05-tables/panel-check-job-function.csv#directions_agree@segment=Engineering,False,True,True,False,True,refused,identification,False -> refused,hr_talent,"size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,,
mix-science-research,hiring_patterns,segment_mix,google:Science / Research,"share of postings by job function, H1 vs H2 2023","Science / Research moved from 22.6% to 17.2% of Google's postings between H1 and H2 2023, a change of -0.0535 in share",share of postings within the balanced publisher panel; a share can move because a different function moved,task-05-tables/panel-check-job-function.csv#share_delta@segment=Science / Research,-0.0535,05,segment_panel:task-05-tables/panel-check-job-function.csv#directions_agree@segment=Science / Research,True,True,True,True,True,published_qualified,,True -> published_qualified,hr_talent,"size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,,
skilltrend-looker,skill_demand,skill_trend,google:Looker,"share of skilled postings mentioning the skill, stratified by job function","Demand for Looker at Google is falling inside every one of the 3 job functions tested, while the pooled share across them runs the other way, 0.0920 to 0.1382 of skilled postings — a Simpson's reversal, and the within-function direction is the identified one","share of skilled postings, never of all postings; the pooled figure disagrees with the within-function direction and does not overrule it",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Looker,0.1382,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=Looker,falling_in_all_segments,True,True,True,True,published,,falling_in_all_segments -> published,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-python,skill_demand,skill_trend,google:Python,"share of skilled postings mentioning the skill, stratified by job function","Demand for Python at Google is moving inside job function, 0.6437 to 0.6029 of skilled postings across 4 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Python,0.6029,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=Python,mix_dependent,True,True,False,True,refused,identification,mix_dependent -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-bigquery,skill_demand,skill_trend,google:BigQuery,"share of skilled postings mentioning the skill, stratified by job function","Demand for BigQuery at Google is moving inside job function, 0.0843 to 0.1176 of skilled postings across 4 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=BigQuery,0.1176,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=BigQuery,mix_dependent,True,True,False,True,refused,identification,mix_dependent -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-linux,skill_demand,skill_trend,google:Linux,"share of skilled postings mentioning the skill, stratified by job function","Demand for Linux at Google is moving inside job function, 0.1073 to 0.0765 of skilled postings across 2 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Linux,0.0765,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=Linux,mix_dependent,True,True,False,True,refused,identification,mix_dependent -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-c-plus-plus,skill_demand,skill_trend,google:C++,"share of skilled postings mentioning the skill, stratified by job function","Demand for C++ at Google is moving inside job function, 0.1839 to 0.1618 of skilled postings across 3 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=C++,0.1618,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=C++,mix_dependent,True,True,False,True,refused,identification,mix_dependent -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-tensorflow,skill_demand,skill_trend,google:TensorFlow,"share of skilled postings mentioning the skill, stratified by job function","Demand for TensorFlow at Google is moving inside job function, 0.1303 to 0.1088 of skilled postings across 2 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=TensorFlow,0.1088,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=TensorFlow,mix_dependent,True,True,False,True,refused,identification,mix_dependent -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-tableau,skill_demand,skill_trend,google:Tableau,"share of skilled postings mentioning the skill, stratified by job function","Demand for Tableau at Google is moving inside job function, 0.0460 to 0.0529 of skilled postings across 2 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Tableau,0.0529,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=Tableau,mix_dependent,True,True,False,True,refused,identification,mix_dependent -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-matlab,skill_demand,skill_trend,google:MATLAB,"share of skilled postings mentioning the skill, stratified by job function","Demand for MATLAB at Google is moving inside job function, 0.0498 to 0.0500 of skilled postings across 2 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=MATLAB,0.05,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=MATLAB,mix_dependent,True,True,False,True,refused,identification,mix_dependent -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
