claim_id,question,status,sentence,action,falsifier,citation
skillgap-go-google-databricks,tech_stack,published,"Google asks for Go in a larger share of its skilled postings than Databricks does, by 0.0806 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Go,company_a=google,company_b=databricks"
skillgap-gcp-google-databricks,tech_stack,published,"Databricks asks for GCP in a larger share of its skilled postings than Google does, by 0.2943 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=GCP,company_a=google,company_b=databricks"
skillgap-scala-google-databricks,tech_stack,published,"Databricks asks for Scala in a larger share of its skilled postings than Google does, by 0.4109 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Scala,company_a=google,company_b=databricks"
skillgap-azure-google-databricks,tech_stack,published,"Databricks asks for Azure in a larger share of its skilled postings than Google does, by 0.4217 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Azure,company_a=google,company_b=databricks"
skillgap-aws-google-databricks,tech_stack,published,"Databricks asks for AWS in a larger share of its skilled postings than Google does, by 0.4811 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=AWS,company_a=google,company_b=databricks"
skillgap-spark-google-databricks,tech_stack,published,"Databricks asks for Spark in a larger share of its skilled postings than Google does, by 0.6655 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Spark,company_a=google,company_b=databricks"
skillgap-excel-google-databricks,tech_stack,published,"Databricks asks for Excel in a larger share of its skilled postings than Google does, by 0.7578 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Excel,company_a=google,company_b=databricks"
skillgap-databricks-google-databricks,tech_stack,published,"Databricks asks for Databricks in a larger share of its skilled postings than Google does, by 0.9970 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Databricks,company_a=google,company_b=databricks"
skillgap-tableau-google-meta,tech_stack,published,"Meta asks for Tableau in a larger share of its skilled postings than Google does, by 0.0561 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Tableau,company_a=google,company_b=meta"
skillgap-r-google-meta,tech_stack,published,"Meta asks for R in a larger share of its skilled postings than Google does, by 0.1925 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=R,company_a=google,company_b=meta"
