question_id,backs_slide,question,line,kind,claim_id,status,carries,answer
q-forecast,9,So can you forecast their hiring for next quarter?,0,refusal,tempting-forecast,refused,,"Not available — “Google's share of the panel is expected to reach 0.2335 in 2024, based on the selected model”. Stopped at the lint gate: forecast (task-07 §8). None; this sentence is not available."
q-forecast,9,So can you forecast their hiring for next quarter?,1,refusal,forecast-h1,refused,,"Not available — “Google's posting share 1 month ahead can be stated within a band 3.15 times wide”. Stopped at the identification gate: an interval this wide contains both a doubling and a halving, so it excludes no decision. None; plan without a demand forecast from this source."
q-forecast,9,So can you forecast their hiring for next quarter?,2,plain,,,,"The gate says the series is not noise. The horizon table says no model beats persistence, so the answer is no at every horizon tested."
q-who-is-biggest,8,Which of the six is hiring the most?,0,refusal,tempting-level,refused,C8,"Not available — “Google posts more jobs than Snowflake, at 0.2403 of the common panel”. Stopped at the lint gate: cross_company_level (task-06 §1.3). None; this sentence is not available."
q-who-is-biggest,8,Which of the six is hiring the most?,1,claim,share-google,published_qualified,C8,"Google was losing share of the shared publisher pool between H1 and H2 2023 (log share change -0.182), agreeing in 4 of 6 publishers — share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8"
q-who-is-biggest,8,Which of the six is hiring the most?,2,plain,,,C8,"Share of a fixed publisher pool is the comparable quantity. The level is not, because a posting count counts syndication."
q-direction,7,Is the focus company hiring more or less than at the start of the year?,0,refusal,vol-google,refused,,"Not available — “Google's 2023 posting volume reads as growth, and the four panel treatments spread 99.05 index points around it”. Stopped at the identification gate: treatments disagree, so the direction is a property of the panel treatment, not of the company. None until the panel is balanced."
q-direction,7,Is the focus company hiring more or less than at the start of the year?,1,plain,,,,"Four defensible panel treatments disagree on the sign, so no direction is reported for this company. Two of the six do survive that test, and they are reported."
q-february,6,What happened in February?,0,refusal,tempting-seasonal,refused,,"Not available — “Google's February dip is a seasonal pattern, 22 postings against a January baseline”. Stopped at the lint gate: seasonal (task-05 §6). None; this sentence is not available."
q-february,6,What happened in February?,1,plain,,,,"The publishers that vanish in February return in March, so it is a collection gap. With one year there is no way to test a recurring pattern at all."
q-converging,10,Are the two most similar companies converging?,0,refusal,tempting-convergence,refused,,"Not available — “Google and Meta are converging on a single hiring profile, at a similarity of 0.9174”. Stopped at the lint gate: convergence (task-08 §8). None; this sentence is not available."
q-converging,10,Are the two most similar companies converging?,1,claim,pair-google-meta,published,,"Google and Meta have a skill-profile similarity of 0.9174, ranking 1 of 15 pairs — similarity of what the two companies advertise for, not of what they build; the rank is what is identified, not the score"
q-converging,10,Are the two most similar companies converging?,2,plain,,,,Similarity of profiles is measured and reported. Movement of profiles towards each other is not: it failed its own null.
q-salary,14,Who pays more?,0,refusal,salary-google-meta-science-research,refused,,"Not available — “In Science / Research roles on via Ladders, Google's median disclosed salary differs from Meta's by -25000”. Stopped at the identification gate: disclosed salaries only, inside one publisher and one job function; disclosure is missing not at random. Do not use for compensation benchmarking."
q-salary,14,Who pays more?,1,plain,,,,"Disclosure is a publisher behaviour, not a company one, so the disclosed subset is not a sample of the population. There is no pay comparison in this data."
q-country,14,How does hiring differ between countries?,0,refusal,tempting-country,refused,,"Not available — “Google is shifting hiring towards Singapore, now 0.1210 of its postings”. Stopped at the lint gate: country_split (task-05 §9). None; this sentence is not available."
q-country,14,How does hiring differ between countries?,1,plain,,,,"Publishers are regional. A country split would compare aggregator footprints and read as a hiring shift, which is the most convincing wrong answer available here."
