skill,category,top_title_terms
Airflow,Data Engineering,"solutions, intelligence analyst, data infrastructure, customer solutions, google customer, solutions engineer"
BigQuery,Cloud Platform,"analytics, specialist, sales, analytics sales, intelligence analyst, data analytics"
C,Programming Language,"engineering, software, technical solutions, solutions engineer, english, stack"
C#,Programming Language,"software, english, cloud english, software engineer, intelligence customer, solutions"
C++,Programming Language,"engineer, engineer data, data analytics, solutions, stack, pixel"
Express,Web / Frontend,"senior, senior staff, senior data, senior analyst, staff data, and safety"
GCP,Cloud Platform,"specialist google, cloud engineer, security, manager, data engineering, engineer data"
Go,Programming Language,"engineer, software, software engineer, services, engineer data, engineer professional"
Hadoop,Data Engineering,"data engineer, business data, cloud data, cloud, full, data google"
Java,Programming Language,"engineer, data engineer, software, engineer data, solutions, services"
JavaScript,Programming Language,"engineer data, scientist business, software, technical solutions, business and, solutions engineer"
Kubernetes,DevOps / Infrastructure,"infrastructure, cloud platform, infrastructure engineer, platform, ml, cloud engineer"
Linux,OS / Shell,"network, customer, customer engineer, center, data center, mandiant"
Looker,Analytics / BI,"looker, analytics sales, business intelligence, looker google, business, intelligence"
MATLAB,Programming Language,"business data, science intern, intern, scientist ads, learning google, full"
MongoDB,Database,"cloud, cloud engineer, cloud data, financial, data engineer, engineer global"
NoSQL,Database,"cloud, data engineer, cloud data, german, cloud engineer, google customer"
Oracle,Database,"analytics google, scientist machine, customer engineer, analytics, google cloud, customer"
Perl,Programming Language,"technical solutions, solutions engineer, technical, solutions, english, cloud ai"
PyTorch,ML / AI,"ai, cloud ai, ai engineer, ml, research, solutions"
Python,Programming Language,"data scientist, scientist, data engineer, operations data, data, senior data"
R,Programming Language,"product, intern, data scientist, scientist, customer, analytics google"
SAP,Analytics / BI,"sap, engineer data, program manager, program, customer engineer, analytics google"
SAS,Analytics / BI,"intern, cx, scientist intern, experience, science intern, analyst waze"
SQL,Programming Language,"product, business, analyst, product data, marketing, looker google"
Scala,Programming Language,"engineer data, cloud, data analytics, services, customer, services google"
Shell,OS / Shell,"technical solutions, senior software, technical, solutions, solutions engineer, greach"
Snowflake,Cloud Platform,"intelligence analyst, test engineer, analytics, engineer data, test, analytics google"
Spark,Data Engineering,"data engineer, scientist machine, ai engineer, cloud ai, customer solutions, google customer"
Tableau,Analytics / BI,"business data, associate, engineering operations, scientist engineering, specialist, reporting"
TensorFlow,ML / AI,"cloud, ai, learning, machine learning, machine, ml"
pandas,Data Science Libraries,"growth, science, insights and, and measurement, research, measurement"
