slide,section,required,title,bullets,claims,refusals,facts,narration,figure,table,carries,notes
1,title,False,Competitor Demand Prediction Using Job Postings,3,0,0,2,1,,,,"Open on the constraint, not the result: this is a single year from a single aggregator, and that decides what the rest of the talk is allowed to claim."
2,problem,False,Job postings are a forward-looking signal,3,0,0,0,3,,,,"The pitch and the catch on one slide, so nothing later looks like an excuse invented after a null result."
3,legal,True,"The legal gate came first, and it removed sources",4,0,0,0,4,,docs/legal/rejected-sources.md,,The point is that the checklist has teeth — it says no to the single most obvious source for a Google specialist.
4,data,False,"What was collected, and what failed the screen",3,0,0,2,1,,task-06-tables/company-feasibility-screen.csv,,Name the two that failed the screen and why — a screen that never excludes anything is decoration.
5,pipeline,False,"Rules, not models, so every extraction is inspectable",3,0,0,1,2,,,,The truncation is the honest reason there is no embedding model here. Say it before the mentor asks why no BERT.
6,identification,True,A posting count is a count of the boards that syndicate it,4,1,0,0,3,task-05-figures/03-publisher-panel.png,,,"This is the load-bearing slide. If it lands, every refusal later reads as a consequence rather than a hedge. Do not rush it."
7,trends,False,"Within-year trends: the mix moves, the volume does not resolve",3,2,0,0,1,task-05-figures/02-panel-sensitivity.png,,,"Looker is the Simpson's reversal — falling inside every job function while the pooled share rises. It overturned an earlier headline of ours, which is the honest way to introduce the corrections register later."
8,comparison,False,"Share of a common publisher pool, not headcount",3,2,0,0,1,task-06-figures/03-relative-share.png,,C8,Expect the mentor to like the unanimous count. Volunteer C8 before they do.
9,forecast,False,"The forecast question has an answer, and it is no",3,1,0,0,2,task-07-figures/05-horizon-limits.png,,,Signal and usability are different questions. The gate says the series is not noise; the horizon table says the interval is too wide to act on.
10,similarity,False,One pair of six companies is actually separated,3,1,0,0,2,task-08-figures/04-rank-stability.png,,,A raw similarity means nothing without its two per-pair nulls. Have the identical and unrelated numbers ready.
11,insights,False,"Sentences were generated, then gated — not written, then defended",3,0,0,1,2,task-09-figures/01-insight-yield.png,,,The yield is the headline of Task 09. A high yield here would mean the gates were not doing anything.
12,position,False,"Position is a profile, not a ranking",3,0,0,1,2,task-06-figures/08-google-distinctiveness.png,,,Distinctive does not mean more. Of those distinctive skills only a minority are ones Google asks for *more* than the others.
13,stack,False,A stack difference is not a capability difference,3,2,0,0,1,task-06-figures/07-skill-heatmap.png,,,Product managers are the audience with the most publishable sentences here. This is the slide they want.
14,refusals,True,What this project will not say,5,0,4,0,1,task-09-figures/03-audience-reach.png,,,Deliver this slide at the same pace as the results slides. It is the deliverable the brief's promise list actually settles.
15,corrections,True,"Corrections are recorded, never overwritten",3,0,0,1,2,,docs/corrections.md,,Volunteer the ones that overturned our own headlines. A register with no self-inflicted entries is a register nobody used.
16,quality,True,Every number here is bound to a committed table,3,0,0,1,2,,,,"The last bullet is the correction this task raises against our own Task 09 handover, which predicted the presentation could not be checked by a test."
17,workspace,False,The repository the next specialists inherit,3,0,0,1,2,,,,"Frame the open seats as a handover, not an apology. The matching audit exists so a new specialist can disagree with a row rather than redo the task."
18,next,False,What would change the answers,4,0,0,0,4,,,,"Each line is a falsifier the reports already name, not a wish list."
19,qa,False,Backup — the question bank,2,0,0,0,2,,task-10-tables/mentor-qa.csv,,Do not improvise a number. The bank exists so the spoken answer and the written one are the same answer.
