claim_id,question,status,sentence,action,falsifier,citation
mix-sales,hiring_patterns,published_qualified,"Sales moved from 2.6% to 5.3% of Google's postings between H1 and H2 2023, a change of 0.0266 in share — share of postings within the balanced publisher panel; a share can move because a different function moved","size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,task-05-tables/panel-check-job-function.csv#share_delta@segment=Sales
mix-technical-sales,hiring_patterns,published_qualified,"Technical Sales moved from 15.1% to 17.2% of Google's postings between H1 and H2 2023, a change of 0.0208 in share — share of postings within the balanced publisher panel; a share can move because a different function moved","size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,task-05-tables/panel-check-job-function.csv#share_delta@segment=Technical Sales
mix-product-program,hiring_patterns,published_qualified,"Product / Program moved from 0.3% to 0.4% of Google's postings between H1 and H2 2023, a change of 0.0015 in share — share of postings within the balanced publisher panel; a share can move because a different function moved","size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,task-05-tables/panel-check-job-function.csv#share_delta@segment=Product / Program
mix-support-admin,hiring_patterns,published_qualified,"Support / Admin moved from 0.3% to 0.4% of Google's postings between H1 and H2 2023, a change of 0.0015 in share — share of postings within the balanced publisher panel; a share can move because a different function moved","size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,task-05-tables/panel-check-job-function.csv#share_delta@segment=Support / Admin
mix-facilities-operations,hiring_patterns,published_qualified,"Facilities / Operations moved from 11.1% to 11.2% of Google's postings between H1 and H2 2023, a change of 0.0011 in share — share of postings within the balanced publisher panel; a share can move because a different function moved","size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,task-05-tables/panel-check-job-function.csv#share_delta@segment=Facilities / Operations
mix-marketing-communications,hiring_patterns,published_qualified,"Marketing / Communications moved from 0.3% to 0.2% of Google's postings between H1 and H2 2023, a change of -0.0006 in share — share of postings within the balanced publisher panel; a share can move because a different function moved","size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,task-05-tables/panel-check-job-function.csv#share_delta@segment=Marketing / Communications
mix-science-research,hiring_patterns,published_qualified,"Science / Research moved from 22.6% to 17.2% of Google's postings between H1 and H2 2023, a change of -0.0535 in share — share of postings within the balanced publisher panel; a share can move because a different function moved","size the recruiting pipeline by function, not in total",the raw and balanced panels disagreeing on the sign in a twelve-month window,task-05-tables/panel-check-job-function.csv#share_delta@segment=Science / Research
skilltrend-looker,skill_demand,published,"Demand for Looker at Google is falling inside every one of the 3 job functions tested, while the pooled share across them runs the other way, 0.0920 to 0.1382 of skilled postings — a Simpson's reversal, and the within-function direction is the identified one — share of skilled postings, never of all postings; the pooled figure disagrees with the within-function direction and does not overrule it",prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Looker
skilltrend-sql,skill_demand,published,"Demand for SQL at Google is rising inside job function, 0.3180 to 0.5059 of skilled postings across 5 segments — share of skilled postings, never of all postings; the direction holds in every segment tested",prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=SQL
skilltrend-go,skill_demand,published,"Demand for Go at Google is falling inside job function, 0.2222 to 0.1118 of skilled postings across 2 segments — share of skilled postings, never of all postings; the direction holds in every segment tested",prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Go
