claim_id,question,status,sentence,falsifier
vol-meta,hiring_patterns,published_qualified,"Meta's 2023 posting volume reads as growth, and the four panel treatments spread 135.59 index points around it — measured on the shared publisher panel only",a twelve-month panel in which all four treatments agree on the sign
vol-snowflake,hiring_patterns,published_qualified,"Snowflake's 2023 posting volume reads as decline, and the four panel treatments spread 17.24 index points around it — measured on the shared publisher panel only",a twelve-month panel in which all four treatments agree on the sign
share-databricks,hiring_patterns,published_qualified,"Databricks was gaining share of the shared publisher pool between H1 and H2 2023 (log share change 0.293), agreeing in 4 of 6 publishers — share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",the same sign count under a per-company cell floor of 5 postings a half
share-google,hiring_patterns,published_qualified,"Google was losing share of the shared publisher pool between H1 and H2 2023 (log share change -0.182), agreeing in 4 of 6 publishers — share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",the same sign count under a per-company cell floor of 5 postings a half
share-meta,hiring_patterns,published_qualified,"Meta was gaining share of the shared publisher pool between H1 and H2 2023 (log share change 0.050), agreeing in 5 of 6 publishers — share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",the same sign count under a per-company cell floor of 5 postings a half
share-microsoft,hiring_patterns,published_qualified,"Microsoft was gaining share of the shared publisher pool between H1 and H2 2023 (log share change 0.237), agreeing in 4 of 6 publishers — share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",the same sign count under a per-company cell floor of 5 postings a half
share-nvidia,hiring_patterns,published_qualified,"Nvidia was gaining share of the shared publisher pool between H1 and H2 2023 (log share change 0.347), agreeing in 6 of 6 publishers — share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",the same sign count under a per-company cell floor of 5 postings a half
share-snowflake,hiring_patterns,published_qualified,"Snowflake was losing share of the shared publisher pool between H1 and H2 2023 (log share change -1.190), agreeing in 5 of 6 publishers — share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8",the same sign count under a per-company cell floor of 5 postings a half
mix-sales,hiring_patterns,published_qualified,"Sales moved from 2.6% to 5.3% of Google's postings between H1 and H2 2023, a change of 0.0266 in share — share of postings within the balanced publisher panel; a share can move because a different function moved",the raw and balanced panels disagreeing on the sign in a twelve-month window
mix-technical-sales,hiring_patterns,published_qualified,"Technical Sales moved from 15.1% to 17.2% of Google's postings between H1 and H2 2023, a change of 0.0208 in share — share of postings within the balanced publisher panel; a share can move because a different function moved",the raw and balanced panels disagreeing on the sign in a twelve-month window
mix-product-program,hiring_patterns,published_qualified,"Product / Program moved from 0.3% to 0.4% of Google's postings between H1 and H2 2023, a change of 0.0015 in share — share of postings within the balanced publisher panel; a share can move because a different function moved",the raw and balanced panels disagreeing on the sign in a twelve-month window
mix-support-admin,hiring_patterns,published_qualified,"Support / Admin moved from 0.3% to 0.4% of Google's postings between H1 and H2 2023, a change of 0.0015 in share — share of postings within the balanced publisher panel; a share can move because a different function moved",the raw and balanced panels disagreeing on the sign in a twelve-month window
mix-facilities-operations,hiring_patterns,published_qualified,"Facilities / Operations moved from 11.1% to 11.2% of Google's postings between H1 and H2 2023, a change of 0.0011 in share — share of postings within the balanced publisher panel; a share can move because a different function moved",the raw and balanced panels disagreeing on the sign in a twelve-month window
mix-marketing-communications,hiring_patterns,published_qualified,"Marketing / Communications moved from 0.3% to 0.2% of Google's postings between H1 and H2 2023, a change of -0.0006 in share — share of postings within the balanced publisher panel; a share can move because a different function moved",the raw and balanced panels disagreeing on the sign in a twelve-month window
mix-science-research,hiring_patterns,published_qualified,"Science / Research moved from 22.6% to 17.2% of Google's postings between H1 and H2 2023, a change of -0.0535 in share — share of postings within the balanced publisher panel; a share can move because a different function moved",the raw and balanced panels disagreeing on the sign in a twelve-month window
skilltrend-looker,skill_demand,published,"Demand for Looker at Google is falling inside every one of the 3 job functions tested, while the pooled share across them runs the other way, 0.0920 to 0.1382 of skilled postings — a Simpson's reversal, and the within-function direction is the identified one — share of skilled postings, never of all postings; the pooled figure disagrees with the within-function direction and does not overrule it",one job function moving the other way with the same support
skilltrend-sql,skill_demand,published,"Demand for SQL at Google is rising inside job function, 0.3180 to 0.5059 of skilled postings across 5 segments — share of skilled postings, never of all postings; the direction holds in every segment tested",one job function moving the other way with the same support
skilltrend-go,skill_demand,published,"Demand for Go at Google is falling inside job function, 0.2222 to 0.1118 of skilled postings across 2 segments — share of skilled postings, never of all postings; the direction holds in every segment tested",one job function moving the other way with the same support
skilltrend-java,skill_demand,published,"Demand for Java at Google is falling inside job function, 0.2605 to 0.1912 of skilled postings across 2 segments — share of skilled postings, never of all postings; the direction holds in every segment tested",one job function moving the other way with the same support
skilltrend-scala,skill_demand,published,"Demand for Scala at Google is falling inside job function, 0.1226 to 0.0647 of skilled postings across 2 segments — share of skilled postings, never of all postings; the direction holds in every segment tested",one job function moving the other way with the same support
skilltrend-r,skill_demand,published,"Demand for R at Google is rising inside job function, 0.3295 to 0.3794 of skilled postings across 3 segments — share of skilled postings, never of all postings; the direction holds in every segment tested",one job function moving the other way with the same support
skilltrend-javascript,skill_demand,published,"Demand for JavaScript at Google is falling inside job function, 0.1379 to 0.1118 of skilled postings across 2 segments — share of skilled postings, never of all postings; the direction holds in every segment tested",one job function moving the other way with the same support
skilltrend-machine-learning,skill_demand,published,"Demand for Machine Learning at Google is rising inside job function, 0.0958 to 0.1088 of skilled postings across 3 segments — share of skilled postings, never of all postings; the direction holds in every segment tested",one job function moving the other way with the same support
skillgap-go-google-databricks,tech_stack,published,"Google asks for Go in a larger share of its skilled postings than Databricks does, by 0.0806 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-gcp-google-databricks,tech_stack,published,"Databricks asks for GCP in a larger share of its skilled postings than Google does, by 0.2943 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-scala-google-databricks,tech_stack,published,"Databricks asks for Scala in a larger share of its skilled postings than Google does, by 0.4109 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-azure-google-databricks,tech_stack,published,"Databricks asks for Azure in a larger share of its skilled postings than Google does, by 0.4217 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-aws-google-databricks,tech_stack,published,"Databricks asks for AWS in a larger share of its skilled postings than Google does, by 0.4811 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-spark-google-databricks,tech_stack,published,"Databricks asks for Spark in a larger share of its skilled postings than Google does, by 0.6655 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-excel-google-databricks,tech_stack,published,"Databricks asks for Excel in a larger share of its skilled postings than Google does, by 0.7578 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-databricks-google-databricks,tech_stack,published,"Databricks asks for Databricks in a larger share of its skilled postings than Google does, by 0.9970 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-tableau-google-meta,tech_stack,published,"Meta asks for Tableau in a larger share of its skilled postings than Google does, by 0.0561 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-r-google-meta,tech_stack,published,"Meta asks for R in a larger share of its skilled postings than Google does, by 0.1925 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-python-google-meta,tech_stack,published,"Meta asks for Python in a larger share of its skilled postings than Google does, by 0.2361 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-sql-google-meta,tech_stack,published,"Meta asks for SQL in a larger share of its skilled postings than Google does, by 0.4293 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-python-google-microsoft,tech_stack,published,"Google asks for Python in a larger share of its skilled postings than Microsoft does, by 0.1497 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-microsoft-outlook-google-microsoft,tech_stack,published,"Microsoft asks for Microsoft Outlook in a larger share of its skilled postings than Google does, by 0.0354 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-docker-google-microsoft,tech_stack,published,"Microsoft asks for Docker in a larger share of its skilled postings than Google does, by 0.0333 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-sql-server-google-microsoft,tech_stack,published,"Microsoft asks for SQL Server in a larger share of its skilled postings than Google does, by 0.0456 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-sharepoint-google-microsoft,tech_stack,published,"Microsoft asks for SharePoint in a larger share of its skilled postings than Google does, by 0.0507 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-kubernetes-google-microsoft,tech_stack,published,"Microsoft asks for Kubernetes in a larger share of its skilled postings than Google does, by 0.0545 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-excel-google-microsoft,tech_stack,published,"Microsoft asks for Excel in a larger share of its skilled postings than Google does, by 0.0654 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
