claim_id,question,family,subject,text,blocked_by,reason,what_would_lift_it
vol-databricks,hiring_patterns,volume,databricks,"Databricks's 2023 posting volume reads as unresolved, and the four panel treatments spread 128.10 index points around it",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
vol-google,hiring_patterns,volume,google,"Google's 2023 posting volume reads as growth, and the four panel treatments spread 99.05 index points around it",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
vol-microsoft,hiring_patterns,volume,microsoft,"Microsoft's 2023 posting volume reads as growth, and the four panel treatments spread 80.93 index points around it",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
vol-nvidia,hiring_patterns,volume,nvidia,"Nvidia's 2023 posting volume reads as decline, and the four panel treatments spread 27.38 index points around it",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
mix-analytics,hiring_patterns,segment_mix,google:Analytics,"Analytics moved from 16.2% to 20.0% of Google's postings between H1 and H2 2023, a change of 0.0378 in share",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
mix-other,hiring_patterns,segment_mix,google:Other,"Other moved from 2.9% to 1.9% of Google's postings between H1 and H2 2023, a change of -0.0101 in share",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
mix-engineering,hiring_patterns,segment_mix,google:Engineering,"Engineering moved from 28.6% to 26.1% of Google's postings between H1 and H2 2023, a change of -0.0254 in share",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-python,skill_demand,skill_trend,google:Python,"Demand for Python at Google is moving inside job function, 0.6437 to 0.6029 of skilled postings across 4 segments",identification,mix_dependent -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-bigquery,skill_demand,skill_trend,google:BigQuery,"Demand for BigQuery at Google is moving inside job function, 0.0843 to 0.1176 of skilled postings across 4 segments",identification,mix_dependent -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-linux,skill_demand,skill_trend,google:Linux,"Demand for Linux at Google is moving inside job function, 0.1073 to 0.0765 of skilled postings across 2 segments",identification,mix_dependent -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-c-plus-plus,skill_demand,skill_trend,google:C++,"Demand for C++ at Google is moving inside job function, 0.1839 to 0.1618 of skilled postings across 3 segments",identification,mix_dependent -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-tensorflow,skill_demand,skill_trend,google:TensorFlow,"Demand for TensorFlow at Google is moving inside job function, 0.1303 to 0.1088 of skilled postings across 2 segments",identification,mix_dependent -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-tableau,skill_demand,skill_trend,google:Tableau,"Demand for Tableau at Google is moving inside job function, 0.0460 to 0.0529 of skilled postings across 2 segments",identification,mix_dependent -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-matlab,skill_demand,skill_trend,google:MATLAB,"Demand for MATLAB at Google is moving inside job function, 0.0498 to 0.0500 of skilled postings across 2 segments",identification,mix_dependent -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-hadoop,skill_demand,skill_trend,google:Hadoop,"Demand for Hadoop at Google is moving inside job function, 0.1379 to 0.0647 of skilled postings across 1 segments",identification,insufficient_support -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
